"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"무학지역아동센터","B8863","(아동) 지역아동센터","아동복지시설","자치구","박은정","1120000000","성동구","서울특별시 성동구 왕십리로31나길 292층 (하왕십리동)"
"행복한지역아동센터","B8873","(아동) 지역아동센터","아동복지시설","자치구","김현지","1162000000","관악구","서울특별시 관악구 법원단지13길 22 (신림동)(신림동)"
"우리지역아동센터","B8875","(아동) 지역아동센터","아동복지시설","자치구","이용순","1147000000","양천구","서울특별시 양천구 중앙로51길 362층"
"한길지역아동센터","B8928","(아동) 지역아동센터","아동복지시설","자치구","김옥열","1150000000","강서구","서울특별시 강서구 공항대로65길 21-0상가 1층"
"예사랑지역아동센터","B8939","(아동) 지역아동센터","아동복지시설","자치구","이수영","1159000000","동작구","서울특별시 동작구 장승배기로10가길 124-02층(예사랑교회)"
"아이들의울타리지역아동센터","B8944","(아동) 지역아동센터","아동복지시설","자치구","박미경","1159000000","동작구","서울특별시 동작구 장승배기로20길 8201호"
"아름다운지역아동센터","B8953","(아동) 지역아동센터","아동복지시설","자치구","신정애","1171000000","송파구","서울특별시 송파구 중대로16길 9301호"
"독산1동지역아동센터","B8963","(아동) 지역아동센터","아동복지시설","자치구","유명철","1154500000","금천구","서울특별시 금천구 벚꽃로 73상가 306호"
"Ah'늘함께지역아동복지센터","B8968","(아동) 지역아동센터","아동복지시설","자치구","조성아","1138000000","은평구","서울특별시 은평구 갈현로11길30 (구산동) 은평천사원내"
"동그라미지역아동센터","B8969","(아동) 지역아동센터","아동복지시설","자치구","이애자","1138000000","은평구","서울특별시 은평구 갈현로41길 9 (갈현동)"
"푸른나무지역아동센터","B8993","(아동) 지역아동센터","아동복지시설","자치구","설현순","1159000000","동작구","서울특별시 동작구 흑석한강로 134층 (흑석동)"
"흑석희망지역아동센터","B9042","(아동) 지역아동센터","아동복지시설","자치구","심후석","1159000000","동작구","서울특별시 동작구 흑석동10번지 명수대현대아파트 B상가 4층 402호"
"금천행복한지역아동센터","B9052","(아동) 지역아동센터","아동복지시설","자치구","김용희","1154500000","금천구","서울특별시 금천구 독산로119 3층 (시흥동)"
"청소년1318해피존나무를심는학교","B9053","(아동) 지역아동센터","아동복지시설","자치구","이바울","1141000000","서대문구","서울특별시 서대문구 북아현로14길 55"
"나누리지역아동센터","B9071","(아동) 지역아동센터","아동복지시설","자치구","황삼연","1123000000","동대문구","서울특별시 동대문구 전농로17길 7나누리지역아동센터"
"신광지역아동센터","B9098","(아동) 지역아동센터","아동복지시설","자치구","유수현","1154500000","금천구","서울특별시 금천구 한내로69-15 주공13단지 1316동 207호 (독산동)"
"에듀존도봉지역아동센터","B9102","(아동) 지역아동센터","아동복지시설","자치구","구본영","1132000000","도봉구","서울특별시 도봉구 해등로 1114층"
"슬기의집","B9103","(아동) 공동생활가정","아동복지시설","자치구","정순란","1129000000","성북구","서울특별시 성북구 성북로8다길 17403호 (성북동 경완빌라)(성북동 경완빌라)"
"푸른꿈나무지역아동센터","B9116","(아동) 지역아동센터","아동복지시설","자치구","박상현","1138000000","은평구","서울특별시 은평구 불광로 1213층"
"예수그리스도의집","B9145","(아동) 공동생활가정","아동복지시설","자치구","김선명","1162000000","관악구","서울특별시 관악구 양지5길 36 (신림동)"
"창동드림지역아동센터","B9148","(아동) 지역아동센터","아동복지시설","자치구","조래연","1132000000","도봉구","서울특별시 도봉구 우이천로4다길32(창동478-2)32 (창동)"
"생명강지역아동센터","B9153","(아동) 지역아동센터","아동복지시설","자치구","곽태성","1126000000","중랑구","서울특별시 중랑구 동일로123길 21"
"친구네지역아동센터","B9193","(아동) 지역아동센터","아동복지시설","자치구","이정연","1111000000","종로구","서울특별시 종로구 창신동창신길 59 4층"
"세종지역아동센터","B9214","(아동) 지역아동센터","아동복지시설","자치구","신민경","1111000000","종로구","서울특별시 종로구 통일로12길 10-142층"
"사랑의지역아동센터","B9228","(아동) 지역아동센터","아동복지시설","자치구","이정애","1130500000","강북구","서울특별시 강북구 삼양로20길53 (미아동)"
"암사지역아동센터","B9254","(아동) 지역아동센터","아동복지시설","자치구","선순제","1174000000","강동구","서울특별시 강동구 고덕로27길 28 (암사동)"
"행복한지역아동센터","B9260","(아동) 지역아동센터","아동복지시설","자치구","김지연","1121500000","광진구","서울특별시 강서구 강서로 532106동 306호 (가양동 동신아파트대아아파트)(가양동 동신아파트대아아파트)"
"섬기는지역아동센터","B9264","(아동) 지역아동센터","아동복지시설","자치구","박숙희","1153000000","구로구","서울특별시 구로구 개봉로17아길 51-12 (개봉동)"
"우애의집","B9273","(아동) 공동생활가정","아동복지시설","자치구","전인옥","1129000000","성북구","서울특별시 성북구 장위로 31103호 (장위동 신장위아파트)"
"여의칸지역아동센터","B9284","(아동) 지역아동센터","아동복지시설","자치구","김계순","1165000000","서초구","서울특별시 서초구 서초대로 532층 (방배동)"
"구립석관동꿈나무키우미돌봄센터","B9302","(아동) 지역아동센터","아동복지시설","자치구","전해숙","1129000000","성북구","서울특별시 성북구 한천로79길 14-14 (석관동)"
"새숲공부방","B9304","(아동) 지역아동센터","아동복지시설","자치구","이선희","1162000000","관악구","서울특별시 관악구 광신길 160101동 101호/106호 (신림동 신림1단지주공아파트)"
"푸른우리집","B9309","(아동) 공동생활가정","아동복지시설","자치구","이정화","1174000000","강동구","서울특별시 강동구 아리수로76길 36-0(고덕동 12층 201호)"
"서초꿈","B9322","(아동) 아동양육시설","아동복지시설","자치구","조휘옥","1165000000","서초구","서울특별시 서초구 서초대로 114-14 (방배동)"
"구립광현청소년 지역아동센터","B9323","(아동) 지역아동센터","아동복지시설","자치구","송재화","1138000000","은평구","서울특별시 은평구 연서로27길 31-7지층 (갈현동)"
"새비전지역아동센터","B9329","(아동) 지역아동센터","아동복지시설","자치구","임후남","1171000000","송파구","서울특별시 송파구 거마로7길 4444-5 201호 (거여동)"
"드림홈스쿨","B9330","(아동) 지역아동센터","아동복지시설","자치구","한경미","1154500000","금천구","서울특별시 금천구 가산로 106(202호 주상복합두산아파트) (가산동 주상복합두산아파트)"
"비전스쿨지역아동센터","B9332","(아동) 지역아동센터","아동복지시설","자치구","문장한","1138000000","은평구","서울특별시 은평구 가좌로7나길 172층"
"늘푸른청소년미래","B9336","(아동) 공동생활가정","아동복지시설","자치구","기영희","1162000000","관악구","서울특별시 관악구 약수암1길 6-8 (신림동)"
"맑은지역아동센터","B9340","(아동) 지역아동센터","아동복지시설","자치구","이인아","1138000000","은평구","서울특별시 은평구 진흥로9길 8-172층"
"구립예꿈터지역아동센터","B9352","(아동) 지역아동센터","아동복지시설","자치구","송선용","1141000000","서대문구","서울특별시 서대문구 문화촌길6-4 (홍제동)"
"동산비젼스쿨지역아동센터","B9359","(아동) 지역아동센터","아동복지시설","자치구","김경숙","1130500000","강북구","서울특별시 강북구 오현로 103층"
"두날개지역아동센터","B9365","(아동) 지역아동센터","아동복지시설","자치구","문제영","1156000000","영등포구","서울특별시 영등포구 가마산로 333 유현빌딩 3층 (대림동)"
"행복한우리","B9398","(아동) 공동생활가정","아동복지시설","자치구","권혜경","1171000000","송파구","서울특별시 송파구 올림픽로47길9-10 301호 (풍납동)"
"서울영아일시보호소","B9400","(아동) 아동일시보호시설","아동복지시설","자치구","강신혜","1168000000","강남구","서울특별시 강남구 논현로86길 214층 (역삼동)"
"꿈사랑방지역아동센터","B9406","(아동) 지역아동센터","아동복지시설","자치구","박은자","1123000000","동대문구","서울특별시 동대문구 답십리동80호 청솔우성아파트상가3층 308309"
"오륜레인보우지역아동센터","B9416","(아동) 지역아동센터","아동복지시설","자치구","이문용","1174000000","강동구","서울특별시 강동구 강동대로53길 73 (성내동)"
"CLC희망학교","B9436","(아동) 지역아동센터","아동복지시설","자치구","조진희","1154500000","금천구","서울특별시 금천구 시흥대로306 3층 (독산동)"
"새터민청소년그룹홈<한식구>","B9447","(아동) 공동생활가정","아동복지시설","자치구","이태현","1129000000","성북구","서울특별시 성북구 정릉2동북악산로 1다길 3 2층 (정릉동)"
"봄채","B9462","(아동) 공동생활가정","아동복지시설","자치구","윤설희","1171000000","송파구","서울특별시 송파구 동남로24길 114층"
"예원","B9467","(아동) 공동생활가정","아동복지시설","자치구","김필저","1150000000","강서구","서울특별시 강서구 강서로45길138 804호 (내발산동)"
"샘지역아동센터","B9475","(아동) 지역아동센터","아동복지시설","자치구","지정의","1138000000","은평구","서울특별시 은평구 연서로11길 7-2"
"구립상계1동지역아동센터","B9515","(아동) 지역아동센터","아동복지시설","자치구","강지현","1135000000","노원구","서울특별시 노원구 동일로1697 (상계동) 상계1동주민센터 2층"
"행복한지역아동센터","B9536","(아동) 지역아동센터","아동복지시설","자치구","서영숙","1123000000","동대문구","서울특별시 동대문구 외대역동로75 (이문동)"
"안젤라의집","B9552","(아동) 공동생활가정","아동복지시설","자치구","김인옥","1129000000","성북구","서울특별시 성북구 장위로32길장위로32길 11"
"방화지역아동센터","B9555","(아동) 지역아동센터","아동복지시설","자치구","이동훈","1150000000","강서구","서울특별시 강서구 양천로6길28 3층 301호 (방화동)"
"한빛지역아동센터","B9556","(아동) 지역아동센터","아동복지시설","자치구","서란","1129000000","성북구","서울특별시 성북구 동소문로34길24 304305호 (돈암동 삼성아파트 제비상가)"
"구립상계3.4동지역아동센터","B9557","(아동) 지역아동센터","아동복지시설","자치구","서경하","1135000000","노원구","서울특별시 노원구 덕릉로859 3층 (상계동)"
"우등생지역아동센터","B9559","(아동) 지역아동센터","아동복지시설","자치구","김미숙","1174000000","강동구","서울특별시 강동구 진황도로23길 7 (천호동)"
"구립월계지역아동센터","B9569","(아동) 지역아동센터","아동복지시설","자치구","김보경","1135000000","노원구","서울특별시 노원구 초안산로 1길51 2층 (월계동 월계종합사회복지관)"
"구립상계숲속지역아동센터","B9573","(아동) 지역아동센터","아동복지시설","자치구","조호미나","1135000000","노원구","서울특별시 노원구 동일로227길106"
"구립공릉지역아동센터","B9578","(아동) 지역아동센터","아동복지시설","자치구","이지연","1135000000","노원구","서울특별시 노원구 공릉동708번지 공릉종합사회복지관 3층"
"구립종암동꿈나무키우미돌봄센터","B9579","(아동) 지역아동센터","아동복지시설","자치구","나경훈","1129000000","성북구","서울특별시 성북구 종암로19길18 (종암동)"
"해오름지역아동센터","B9595","(아동) 지역아동센터","아동복지시설","자치구","김경이","1171000000","송파구","서울특별시 송파구 백제고분로40길23 2층 (석촌동)"
"함께하는사랑밭독산지역아동센터","B9614","(아동) 지역아동센터","아동복지시설","자치구","김연정","1154500000","금천구","서울특별시 금천구 문성로44 (독산동)"
"강북구 공립지역아동센터","B9628","(아동) 지역아동센터","아동복지시설","자치구","김경화","1130500000","강북구","서울특별시 강북구 도봉로96다길15 (번동)"
"풍성한지역아동센터","B9650","(아동) 지역아동센터","아동복지시설","자치구","김경진","1138000000","은평구","서울특별시 은평구 증산로15길 62-12층 (신사동)"
"초록나무학교","B9651","(아동) 지역아동센터","아동복지시설","자치구","나영학","1147000000","양천구","서울특별시 양천구 오목로38길29 (신정동)"
"구립초안산숲속지역아동센터","B9654","(아동) 지역아동센터","아동복지시설","자치구","김혜숙","1135000000","노원구","서울특별시 노원구 덕릉로60길 199 (월계동)"
"다사랑영등포지역아동센터","B9689","(아동) 지역아동센터","아동복지시설","자치구","박상민","1156000000","영등포구","서울특별시 영등포구 신길로42길35 111동 903호 (신길동 삼성래미안아파트)"
"구립가재울지역아동센터","B9698","(아동) 지역아동센터","아동복지시설","자치구","임미심","1141000000","서대문구","서울특별시 서대문구 거북골로195-1 2층 (북가좌동 서대문꿈나무지원센터)"
"조이드림지역아동센터","B9706","(아동) 지역아동센터","아동복지시설","자치구","안미숙","1156000000","영등포구","서울특별시 영등포구 당산로38길 9-3 (당산동4가)"
"서울중심지역아동센터","B9709","(아동) 지역아동센터","아동복지시설","자치구","유영미","1174000000","강동구","서울특별시 강동구 천호대로162길34 215호 (성내동)"
"달마학교지역아동센터","B9711","(아동) 지역아동센터","아동복지시설","자치구","마선주","1120000000","성동구","서울특별시 성동구 성덕정길58 (성수동1가) 동현빌딩 4층"
"홍제주원지역아동센터","B9715","(아동) 지역아동센터","아동복지시설","자치구","김영수","1141000000","서대문구","서울특별시 서대문구 홍제원6길4 (홍제동)"
"부림지역아동센터","B9728","(아동) 지역아동센터","아동복지시설","자치구","김영미","1138000000","은평구","서울특별시 은평구 연서로37길 51 (불광동)"
"사랑지역아동센터","B9730","(아동) 지역아동센터","아동복지시설","자치구","임서연","1129000000","성북구","서울특별시 성북구 솔샘로 25 (정릉동)"
"우리들의공부방","B9734","(아동) 지역아동센터","아동복지시설","자치구","홍예진","1162000000","관악구","서울특별시 관악구 남부순환로 15352층 (신림동)(신림동)"
"베타니아","B9738","(아동) 공동생활가정","아동복지시설","자치구","이선중","1129000000","성북구","서울특별시 성북구 동소문로15길동소문로 15길 99 122동 1002호 (동소문동7가)"
"동작지역아동센터","B9747","(아동) 지역아동센터","아동복지시설","자치구","진영순","1159000000","동작구","서울특별시 동작구 국사봉길18 (신대방동) 3층"
"밝은지역아동센터","B9749","(아동) 지역아동센터","아동복지시설","자치구","박웅서","1150000000","강서구","서울특별시 강서구 양천로17길26-2 1층 (방화동)"
"해오름지역아동센터","B9763","(아동) 지역아동센터","아동복지시설","자치구","김숙현","1159000000","동작구","서울특별시 동작구 상도동210번지 375호"
"동화나라","B9786","(아동) 지역아동센터","아동복지시설","자치구","이경희","1159000000","동작구","서울특별시 동작구 사당로 164-1A동 202호 (사당동 남성골든빌아파트)"
"구로구공립지역아동센터","B9794","(아동) 지역아동센터","아동복지시설","자치구","최형묵","1153000000","구로구","서울특별시 구로구 천왕로32 306 307호 (천왕동 천왕에이스프라자 3충)"
"은혜의 집","B9798","(아동) 공동생활가정","아동복지시설","자치구","김용순","1129000000","성북구","서울특별시 성북구 북악산로북악산로 913 101동 103호 (돈암동)풍림A101-103"
"영광지역아동센터","B9809","(아동) 지역아동센터","아동복지시설","자치구","장혜윤","1132000000","도봉구","서울특별시 도봉구 노해로41가길 17-0마천동"
"예사랑청소년지역아동센터","B9824","(아동) 지역아동센터","아동복지시설","자치구","윤선영","1159000000","동작구","서울특별시 동작구 장승배기로10가길124 (상도동)"
"열린지역아동센터","B9838","(아동) 지역아동센터","아동복지시설","자치구","정정희","1126000000","중랑구","서울특별시 중랑구 용마산로 5314층 (망우동)"
"아름다운 땅 지역아동센터","B9843","(아동) 지역아동센터","아동복지시설","자치구","이정림","1130500000","강북구","서울특별시 강북구 오현로194 3층(번동)"
"안수인 지역아동센터","B9851","(아동) 지역아동센터","아동복지시설","자치구","조윤주","1154500000","금천구","서울특별시 금천구 시흥대로26길9 2층 (시흥동)"
"생각의숲 지역아동센터 ","B9865","(아동) 지역아동센터","아동복지시설","자치구","남경애","1159000000","동작구","서울특별시 동작구 성대로29길 60-0 (상도동)60 (상도동)"
"밝은미래 아동상담소","B9888","(아동) 아동상담소","아동복지시설","자치구","윤호순","1114000000","중구","서울특별시 중구 다산로12길 39 (신당동)"
"서울특별시 꿈나무마을 초록꿈터","B9895","(아동) 아동양육시설","아동복지시설","자치구","김영수","1138000000","은평구","서울특별시 은평구 백련산로14길20-11 (응암동)"
"꽃가람","B9896","(아동) 공동생활가정","아동복지시설","자치구","오순","1121500000","광진구","서울특별시 광진구 자양로44길 141-320비호 (구의동 대림아트빌리지)"
"서울특별시 꿈나무마을 파란꿈터","B9898","(아동) 아동양육시설","아동복지시설","자치구","강효봉","1138000000","은평구","서울특별시 은평구 백련산로14길20-11 (응암동)"
"서울특별시 꿈나무마을 연두꿈터","B9900","(아동) 아동양육시설","아동복지시설","자치구","정현숙","1138000000","은평구","서울특별시 은평구 백련산로14길20-11 (응암동)"
"젬마지역아동센터","B9903","(아동) 지역아동센터","아동복지시설","자치구","남상온","1159000000","동작구","서울특별시 동작구 상도1동572번지"
"숲과나무지역아동센터","B9930","(아동) 지역아동센터","아동복지시설","자치구","정혜윤","1174000000","강동구","서울특별시 강동구 올림픽로98길25 3층 (암사동)"
"꿈터","B9939","(아동) 공동생활가정","아동복지시설","자치구","허여정","1159000000","동작구","서울특별시 동작구 양녕로22라길 23401호 (상도동 미경빌라)"
"양지지역아동센터","B9961","(아동) 지역아동센터","아동복지시설","자치구","김성식","1162000000","관악구","서울특별시 관악구 남부순환로 16952층 (봉천동)(봉천동)"
"큰미래지역아동센터","B9967","(아동) 지역아동센터","아동복지시설","자치구","최화순","1150000000","강서구","서울특별시 강서구 방화대로23길49-5 1층 (공항동)"
"구립푸르름지역아동센터","B9971","(아동) 지역아동센터","아동복지시설","자치구","서지연","1156000000","영등포구","서울특별시 영등포구 영등포로64길 15 (신길동) 소통관 1층"
"홀트일시보호소","B9985","(아동) 아동일시보호시설","아동복지시설","자치구","김혜성","1144000000","마포구","서울특별시 마포구 양화로1길22 (합정동)"
"새로핌지역아동센터","B9995","(아동) 지역아동센터","아동복지시설","자치구","윤미숙","1141000000","서대문구","서울특별시 서대문구 증가로118 2층 (남가좌동)"
"구립공릉행복지역아동센터","B9999","(아동) 지역아동센터","아동복지시설","자치구","정주혜","1135000000","노원구","서울특별시 노원구 동일로179길 22-03층 (공릉동 공릉행복발전소)"
"등촌1종합사회복지관 다솜방과후교실","F04230","(아동) 지역아동센터","아동복지시설","자치구","김선기","1150000000","강서구","서울특별시 강서구 강서로68길 36 (등촌동 등촌주공12단지아파트)(등촌동 등촌주공12단지아파트)"
"구립길음동꿈나무키우미돌봄센터","F04442","(아동) 지역아동센터","아동복지시설","자치구","김미은","1129000000","성북구","서울특별시 성북구 서경로6길 70 (길음동)"
"희망의집 지역아동센터","F04658","(아동) 지역아동센터","아동복지시설","자치구","김희정","1130500000","강북구","서울특별시 강북구 삼양로 280-1 (미아동)"
"동소문행복함홈스쿨","F04669","(아동) 지역아동센터","아동복지시설","자치구","정유진","1129000000","성북구","서울특별시 성북구 아리랑로6가길 37 (동선동5가)(동선동5가)"
"강북지역아동센터","F04679","(아동) 지역아동센터","아동복지시설","자치구","서금옥","1130500000","강북구","서울특별시 강북구 삼양로118길 273층 (수유동)(수유동)"
"송중동지역아동센터","F04680","(아동) 지역아동센터","아동복지시설","자치구","윤주영","1130500000","강북구","서울특별시 강북구 오패산로31길 14 (미아동)(미아동)"
"우리지역아동센터","F04681","(아동) 지역아동센터","아동복지시설","자치구","김지아","1130500000","강북구","서울특별시 강북구 오현로31길 21 (번동)(번동)"
"울림사회적협동조합 산지역아동센터","F04682","(아동) 지역아동센터","아동복지시설","자치구","장명임","1130500000","강북구","서울특별시 강북구 삼각산로 134 (수유동)(수유동)"
"울림사회적협동조합 독립문지역아동센터","F04683","(아동) 지역아동센터","아동복지시설","자치구","최윤경","1130500000","강북구","서울특별시 강북구 덕릉로40길 14 (번동)(번동)"
"울림사회적협동조합 꾸러기지역아동센터","F04684","(아동) 지역아동센터","아동복지시설","자치구","곽은아","1130500000","강북구","서울특별시 강북구 도봉로28나길 7 (미아동)(미아동)"
"울림사회적협동조합 하늘씨앗지역아동센터","F04685","(아동) 지역아동센터","아동복지시설","자치구","온민숙","1130500000","강북구","서울특별시 강북구 삼양로 246 (미아동)(미아동)"
"광진구3호점 우리동네키움센터","F04687","(아동) 다함께돌봄센터","아동복지시설","자치구","문혜숙","1121500000","광진구","서울특별시 광진구 자양로 71-7지하1층 ~ 지상2층 (자양동)(자양동)"
"하늘품의집지역아동센터","F04689","(아동) 지역아동센터","아동복지시설","자치구","최형원","1135000000","노원구","서울특별시 노원구 상계로23다길 33하늘품의집지역아동센터 (상계동)"
"꿈터지역아동센터","F04692","(아동) 지역아동센터","아동복지시설","자치구","백경화","1120000000","성동구","서울특별시 성동구 금호산길 612층 (금호동2가)"
"응봉지역아동센터","F04693","(아동) 지역아동센터","아동복지시설","자치구","한명순","1120000000","성동구","서울특별시 성동구 독서당로60나길 151층 (응봉동)(응봉동)"
"아름다운안암지역아동센터","F04694","(아동) 지역아동센터","아동복지시설","자치구","장남순","1123000000","동대문구","서울특별시 동대문구 약령시로 122층 (제기동)(제기동)"
"해피아트지역아동센터","F04695","(아동) 지역아동센터","아동복지시설","자치구","이옥진","1123000000","동대문구","서울특별시 동대문구 망우로14가길 282층 (휘경동)(휘경동)"
"한마음지역아동센터","F04696","(아동) 지역아동센터","아동복지시설","자치구","성은숙","1123000000","동대문구","서울특별시 동대문구 왕산로45길 312층 (청량리동)(청량리동)"
"성복행복한홈스쿨","F04697","(아동) 지역아동센터","아동복지시설","자치구","배선미","1123000000","동대문구","서울특별시 동대문구 장안벚꽃로 1391층 (장안동)(장안동)"
"삼정학교지역아동센터","F04699","(아동) 지역아동센터","아동복지시설","자치구","유현경","1135000000","노원구","서울특별시 노원구 동일로215길 481층 (상계동 상계주공3단지아파트)"
"신금호아이꿈누리터(성동11호점 우리동네키움센터)","F04700","(아동) 다함께돌봄센터","아동복지시설","자치구","이지숙","1120000000","성동구","서울특별시 성동구 행당로 6103호 (금호동1가)"
"구립노원청소년지역아동센터","F04757","(아동) 지역아동센터","아동복지시설","자치구","김현숙","1135000000","노원구","서울특별시 노원구 덕릉로86길 52층 (중계동)"
"공립불암골지역아동센터","K0016","(아동) 지역아동센터","아동복지시설","자치구","김혜원","1135000000","노원구","서울특별시 노원구 중계로14길51 (중계동)"
"라온","K0049","(아동) 공동생활가정","아동복지시설","자치구","이현주","1150000000","강서구","서울특별시 강서구 송정로 14-121층 (공항동)"
"하나복지지역아동센터","K0067","(아동) 지역아동센터","아동복지시설","자치구","장시영","1165000000","서초구","서울특별시 서초구 방배천로18길 20-04층(방배동)"
"구립노원1지역아동센터","K0071","(아동) 지역아동센터","아동복지시설","자치구","정신희","1135000000","노원구","서울특별시 노원구 월계로55길16 관리동 1층 (월계동 월계사슴2단지아파트)"
"희망드림지역아동센터","K0118","(아동) 지역아동센터","아동복지시설","자치구","허정란","1132000000","도봉구","서울특별시 도봉구 도봉로110아길 12 (창동)"
"파란나라지역아동센터","K0121","(아동) 지역아동센터","아동복지시설","자치구","전상진","1126000000","중랑구","서울특별시 중랑구 면목로 452 (면목동)"
"녹색지역아동센터","K0127","(아동) 지역아동센터","아동복지시설","자치구","이영신","1126000000","중랑구","서울특별시 중랑구 겸재로 78 3층 (면목동)"
"씨앗지역아동센터","K0142","(아동) 지역아동센터","아동복지시설","자치구","송해영","1126000000","중랑구","서울특별시 중랑구 겸재로 1932층 (면목동)"
"구립꿈나무지역아동센터","K0145","(아동) 지역아동센터","아동복지시설","자치구","김은주","1135000000","노원구","서울특별시 노원구 동일로186길 3-24 1층 (공릉동 공릉1동주민센터)"
"다니엘청소년지역아동센터","K0147","(아동) 지역아동센터","아동복지시설","자치구","최경주","1147000000","양천구","서울특별시 양천구 남부순환로 3743층 (신월동)"
"영문지역아동센터","K0148","(아동) 지역아동센터","아동복지시설","자치구","박은미","1153000000","구로구","서울특별시 구로구 개봉로11길 35-9301호 (개봉동)"
"강남지역아동센터","K0162","(아동) 지역아동센터","아동복지시설","자치구","박순옥","1165000000","서초구","서울특별시 서초구 강남대로79길 52-5 4층 (반포동)"
"한빛마을","K0176","(아동) 공동생활가정","아동복지시설","자치구","정지욱","1171000000","송파구","서울특별시 송파구 백제고분로28길 19-24 501호 (삼전동 삼전빌라)"
"구립한내지혜의숲지역아동센터","K0192","(아동) 지역아동센터","아동복지시설","자치구","임리아","1135000000","노원구","서울특별시 노원구 마들로 86 (월계동)"
"솔나무지역아동센터","K0202","(아동) 지역아동센터","아동복지시설","자치구","한순덕","1159000000","동작구","서울특별시 동작구 등용로9길 21층 (대방동)"
"강남지역아동센터","K0205","(아동) 지역아동센터","아동복지시설","자치구","유인숙","1168000000","강남구","서울특별시 강남구 개포로28길 11 (개포동)"
"우면지역아동센터","K0211","(아동) 지역아동센터","아동복지시설","자치구","이한나","1165000000","서초구","서울특별시 서초구 태봉로 68 401호 (우면동 우면프라자2)"
"도담지역아동센터","K0220","(아동) 지역아동센터","아동복지시설","자치구","한용환","1171000000","송파구","서울특별시 송파구 풍성로23길41 2층 (풍납동)"
"서울특별시립 서부아동상담치료센터","K0225","(아동) 아동종합시설","아동복지시설","자치구","최영진","1138000000","은평구","서울특별시 은평구 백련산로14길 20-11 (응암동)"
"도밍고의집","K0234","(아동) 공동생활가정","아동복지시설","자치구","구경아","1130500000","강북구","서울특별시 강북구 솔매로41길 37-10 (미아동)37-10 (미아동)"
"헤아림 그룹홈","K0235","(아동) 공동생활가정","아동복지시설","자치구","이영애","1147000000","양천구","서울특별시 양천구 은행정로15길 173층 3호 (신정동 신정빌라)"
"금나래 지역아동센터","K0237","(아동) 지역아동센터","아동복지시설","자치구","강선영","1154500000","금천구","서울특별시 금천구 범안로17길 23-0 (독산동)23 201호 (독산동 우정오피스텔)"
"소은지역아동센터","K0258","(아동) 지역아동센터","아동복지시설","자치구","정경화","1150000000","강서구","서울특별시 강서구 방화대로6나길 17 2층 (공항동)"
"해피지역아동센터","K0266","(아동) 지역아동센터","아동복지시설","자치구","홍경란","1153000000","구로구","서울특별시 구로구 고척로 19303호 (오류동 한백고은아파트)"
"구립하계지역아동센터","K0272","(아동) 지역아동센터","아동복지시설","자치구","고영자","1135000000","노원구","서울특별시 노원구 노원로16길 60 (하계동 중계9단지주공영구임대아파트)"
"놀이터지역아동센터","K0273","(아동) 지역아동센터","아동복지시설","자치구","김옥길","1126000000","중랑구","서울특별시 중랑구 동일로 880 (묵동)"
"구립삼선동꿈나무키우미돌봄센터","K0274","(아동) 지역아동센터","아동복지시설","자치구","김희경","1129000000","성북구","서울특별시 성북구 보문로29길 101 (삼선동3가)"
"다온 서울시립학대피해아동쉼터","K0276","(아동) 학대피해아동쉼터","아동복지시설","자치구","박귀자","1162000000","관악구","서울특별시 관악구 난향길 52-0 (신림동)52 501호 (신림동)"
"마고네공부방 지역아동센터","K0278","(아동) 지역아동센터","아동복지시설","자치구","이옥희","1129000000","성북구","서울특별시 성북구 성북로 8길 65 1층 101호"
"조은날영라이프","K0279","(아동) 공동생활가정","아동복지시설","자치구","황금재","1171000000","송파구","서울특별시 송파구 성내천로43가길 12-0 (마천동)12 2~3층 202호 (마천동)"
"삼전지역아동센터","K0285","(아동) 지역아동센터","아동복지시설","자치구","박달준","1171000000","송파구","서울특별시 송파구 삼전로10길 3 2층 (삼전동)"
"서울나자렛집","K0291","(아동) 공동생활가정","아동복지시설","자치구","김유나","1159000000","동작구","서울특별시 동작구 신대방길85 104동 201호 (신대방동 경남아파트)"
